page,name,rate,time,IP,favor,comment
6,懒羊羊最可爱,2,2023/9/28 15:21,北京,18,Oi，涂山璟人设素我梦中情男吧～今年古偶算能看的了，整体大问题就是故事没有、剧情拖沓。邓为演的我见犹怜hh。
6,糖醋排骨,4,2023/7/26 15:10,河北,1711,无聊时看看还不错，感觉像初中时看的爽文，置景道具下功夫了，特效不行但是懂得扬长避短，三个男角色颜值很高，内娱颜值盛宴。
6,スピカ,3,2023/8/16 2:09,上海,4,喜欢玱玹，赶快上权谋线吧
6,浮游海月,1,2024/1/11 0:08,天津,165,还是从影视区吐槽来的。唉，这么多年过去了，女观众们还是吃这套虐女向的东西。因为女主很惨所以在权力上位的男的们都心痛追悔莫及，也就是以虐待弱者来让强者后悔心疼，于是代入弱者女主的观众们就爽了就高潮了。我真……好在已经有越来越多的女性已经清醒过来批判这种趣味和无意识了。
6,Sunshine,5,2023/8/26 9:57,辽宁,14,get到张晚意了，太喜欢玱玹了！（这个字太难打了，拼qiang能找到）檀健次的演技一如既往的稳，眼睛会说话，只靠微表情就能展现人物丰富的情感，表演真的很细腻。我觉得小夭对相柳是有心动的。
6,zhdd,5,2024/2/12 19:46,广东,5,好剧。被极其理性、自立自强的女性角色迷倒，再看作者居然是桐华。学生时期看过桐华的《那些回不去的年少时光》，就惊叹桐华怎么把少女暗恋人的心态写得如此细腻。
6,feeling,4,2023/10/1 16:42,江苏,55,对涂山璟真的又爱又恨啊，有无数的优点却有一个致命的缺点，要么梅林虐杀同死结束，要么复活HE，怎么后面搞了一个退不了的婚还结婚生子了，真想让苍玹直接刀了他。演员得角色来成就的，之前看的剧里有邓为都没留下深刻的印象，但是这部剧里get了，喜欢的人都有同款小开扇双眼皮，他也很适合古装装造。
6,xiaobai,5,2024/4/22 10:19,湖北,4,小狐狸！在韩硕之后入坑的男人又来了。就之前播的时候就追了的，然后现在二刷，居然熬了个大夜一口气看完了，这又是优秀男朋友天花板了吧，高、白、瘦、有钱、情绪稳定、温柔体贴、无条件答应，哇，还会各种茶艺，这谁顶得住啊，当然另外两位也不错，但是轮颜值排序，搞事业的表哥无论如何都在最后。。咋呢，事业不能丢，爱情也不想放，得不到就毁掉，这样的男主除非长得帅哈，否则该死。。总之无脑喜欢
6,?,4,2024/3/16 17:02,安徽,1,继东宫后看过最好看的古偶各方面都非常非常好
6,一大朵,3,2024/2/5 13:27,重庆,20,相柳竟然不是男一，弃。
